category;date_month;txn_count;payment;user_id
QVV;2016-06;2;3900;3142
ЖКУ;2016-06;1;150;3142
ЖКУ;2016-08;1;300;3142
ЖКУ;2016-09;1;200;3142
ЖКУ;2016-10;1;200;3142
Интернет магазины;2016-06;5;1300;3142
Интернет магазины;2016-07;5;1300;3142
Интернет магазины;2016-08;1;600;3142
Интернет магазины;2016-09;7;2100;3142
Интернет магазины;2016-10;2;600;3142
Интернет магазины;2016-11;2;1900;3142
Контент;2016-10;1;1200;3142
QVC;2016-06;2;1400;6360
QVC;2016-08;1;4200;6360
QVC;2016-10;1;150;6360
QVC;2016-11;3;9400;6360
QVP;2016-11;2;200;6360
Интернет магазины;2016-06;1;5400;6360
Интернет магазины;2016-08;1;10500;6360
Интернет магазины;2016-09;1;900;6360
Интернет магазины;2016-11;2;1300;6360
Сотовая связь;2016-07;1;200;6360
Сотовая связь;2016-09;1;100;6360
Сотовая связь;2016-11;1;300;6360
Сотовая связь;2016-12;1;300;6360
Электронные деньги;2016-11;1;70;6360
QVC;2016-08;1;900;2082
QVC;2016-10;1;30;2082
QVC;2016-11;3;1600;2082
QVP;2016-06;1;100;2082
QVP;2016-07;1;100;2082
Билеты на зрелища;2016-06;1;1000;2082
Сотовая связь;2016-06;6;600;2082
Сотовая связь;2016-07;2;100;2082
Сотовая связь;2016-10;1;100;2082
Сотовая связь;2016-11;2;300;2082
Сотовая связь;2016-06;1;30;5298
Онлайн игры;2016-06;1;60;11171
Онлайн игры;2016-07;1;60;11171
Онлайн игры;2016-10;5;1800;11171
Игры со ставками;2016-08;4;14000;6359
Игры со ставками;2016-09;4;4000;6359
Интернет магазины;2016-07;12;43000;6359
Служебная;2016-06;1;30;6359
Служебная;2016-07;1;20;6359
Информационные услуги;2016-06;6;150;11173
Информационные услуги;2016-08;5;150;11173
Электронные деньги;2016-07;2;80;11173
Контент;2016-10;1;100;11174
QVC;2016-08;4;2200;3125
QVC;2016-09;6;7800;3125
QVC;2016-11;2;5500;3125
QVP;2016-07;1;100;3125
Интернет;2016-07;1;450;3125
Интернет;2016-08;1;450;3125
Интернет;2016-09;1;450;3125
Интернет;2016-10;2;450;3125
Интернет;2016-11;2;450;3125
Интернет магазины;2016-09;3;5700;3125
Информационные услуги;2016-10;1;30;3125
Онлайн игры;2016-06;2;300;3125
Онлайн игры;2016-08;2;1400;3125
Онлайн общение;2016-06;1;200;3125
Онлайн общение;2016-07;1;300;3125
Онлайн общение;2016-09;1;350;3125
Онлайн общение;2016-12;1;350;3125
Сотовая связь;2016-06;2;400;3125
Сотовая связь;2016-07;1;100;3125
Сотовая связь;2016-08;3;450;3125
Сотовая связь;2016-09;4;500;3125
Сотовая связь;2016-10;2;400;3125
Сотовая связь;2016-11;3;450;3125
Электронные деньги;2016-08;1;200;3125
Электронные деньги;2016-07;2;800;11175
VPP;2016-06;1;450;11176
Букмекеры;2016-09;7;4600;11176
Букмекеры;2016-10;2;2500;11176
Букмекеры;2016-11;1;300;11176
Онлайн игры;2016-06;1;30;11178
Онлайн игры;2016-07;1;200;11178
Онлайн игры;2016-08;1;200;11178
Онлайн игры;2016-09;1;200;11178
Букмекеры;2016-06;9;16600;11179
Букмекеры;2016-07;1;1000;11179
Букмекеры;2016-08;12;34500;11179
Букмекеры;2016-09;8;38000;11179
Букмекеры;2016-10;3;6100;11179
Букмекеры;2016-11;4;4700;11179
Госуслуги;2016-06;1;2500;11179
Интернет магазины;2016-08;3;2900;11179
Информационные услуги;2016-06;1;700;11179
Информационные услуги;2016-07;1;300;11179
Информационные услуги;2016-08;1;250;11179
Купоны;2016-06;1;50;11179
Лотереи;2016-10;1;1000;11179
Онлайн игры;2016-06;3;2500;11179
Онлайн игры;2016-07;2;2000;11179
Онлайн игры;2016-08;2;1700;11179
Онлайн игры;2016-10;1;500;11179
Онлайн общение;2016-07;6;600;11179
Онлайн общение;2016-08;8;1400;11179
Онлайн общение;2016-10;1;600;11179
Сотовая связь;2016-06;3;1100;11179
Сотовая связь;2016-07;3;1200;11179
Сотовая связь;2016-08;4;1700;11179
Интернет магазины;2016-11;4;1100;11181
Информационные услуги;2016-11;4;350;11181
MCMS;2016-08;1;600;11182
Онлайн игры;2016-08;1;2000;11182
Онлайн игры;2016-10;1;10;11182
Онлайн общение;2016-08;3;150;11182
Онлайн общение;2016-11;1;40;11182
Сотовая связь;2016-07;1;100;11182
Сотовая связь;2016-08;2;200;11182
Сотовая связь;2016-11;1;200;11182
QVP;2016-07;3;1200;11183
QVP;2016-08;3;1100;11183
QVP;2016-09;6;1800;11183
QVP;2016-10;2;800;11183
Госуслуги;2016-10;1;500;11183
Сотовая связь;2016-06;3;400;11183
Сотовая связь;2016-07;4;450;11183
Сотовая связь;2016-08;1;100;11183
Сотовая связь;2016-10;2;200;11183
Сотовая связь;2016-11;1;30;11183
Букмекеры;2016-08;3;600;11184
MCMS;2016-09;1;1000;5317
QVP;2016-07;9;7500;5317
QVP;2016-08;7;5200;5317
QVP;2016-09;3;7700;5317
QVP;2016-10;1;1600;5317
QVP;2016-11;2;250;5317
VPP;2016-09;1;150;5317
Игры со ставками;2016-07;1;50;5317
Служебная;2016-08;1;700;5317
Сотовая связь;2016-06;3;700;5317
Сотовая связь;2016-07;6;1000;5317
Сотовая связь;2016-08;11;1000;5317
Сотовая связь;2016-09;8;1200;5317
Сотовая связь;2016-10;4;1000;5317
Форекс;2016-07;1;1400;5317
Онлайн игры;2016-06;1;350;11185
Онлайн игры;2016-07;1;350;11185
Онлайн игры;2016-08;1;250;11185
Онлайн игры;2016-09;2;400;11185
Онлайн игры;2016-10;2;450;11185
Букмекеры;2016-06;10;1000;11186
Букмекеры;2016-07;4;400;11186
Букмекеры;2016-08;9;900;11186
Букмекеры;2016-09;11;1900;11186
Букмекеры;2016-10;18;1800;11186
Букмекеры;2016-11;8;700;11186
Сотовая связь;2016-06;1;10;11186
Интернет;2016-07;1;800;4187
Интернет магазины;2016-06;1;100;4187
Интернет магазины;2016-07;1;200;4187
Интернет магазины;2016-09;1;150;4187
Интернет магазины;2016-10;1;250;4187
Интернет магазины;2016-11;5;2300;4187
Онлайн общение;2016-09;2;150;4187
Погашение кредитов;2016-06;1;2900;4187
Сотовая связь;2016-06;3;80;4187
Сотовая связь;2016-07;3;300;4187
Сотовая связь;2016-09;2;100;4187
Сотовая связь;2016-10;3;600;4187
QVV;2016-10;1;300;10142
Интернет магазины;2016-10;1;6700;10142
Служебная;2016-09;1;10;10142
Сотовая связь;2016-10;2;800;10142
Госуслуги;2016-09;2;500;11188
Интернет;2016-07;1;500;11188
Интернет;2016-08;1;350;11188
Интернет;2016-09;3;700;11188
Интернет;2016-10;1;400;11188
Сотовая связь;2016-08;1;20;11188
Сотовая связь;2016-09;1;250;11188
MCMS;2016-11;1;11500;11189
Букмекеры;2016-06;5;2000;11189
Букмекеры;2016-07;3;1600;11189
Букмекеры;2016-08;9;5000;11189
Букмекеры;2016-10;1;300;11189
Букмекеры;2016-11;10;7300;11189
Букмекеры;2016-12;1;500;11189
Госуслуги;2016-08;1;250;11189
Интернет;2016-07;1;700;11189
Интернет;2016-09;1;450;11189
Интернет;2016-11;1;450;11189
Интернет магазины;2016-08;5;1900;11189
Интернет магазины;2016-11;5;7300;11189
Местная связь;2016-06;1;700;11189
Местная связь;2016-10;1;700;11189
Местная связь;2016-11;1;700;11189
Сотовая связь;2016-06;6;1600;11189
Сотовая связь;2016-07;9;1500;11189
Сотовая связь;2016-08;8;1900;11189
Сотовая связь;2016-09;2;600;11189
Сотовая связь;2016-10;1;500;11189
Сотовая связь;2016-11;5;1200;11189
Телевидение;2016-09;1;1200;11189
Интернет;2016-06;1;150;11191
Интернет;2016-08;4;250;11191
Интернет;2016-11;2;300;11191
Сотовая связь;2016-06;5;450;11191
Сотовая связь;2016-07;2;250;11191
Сотовая связь;2016-09;1;250;11191
Сотовая связь;2016-11;4;150;11191
Хостинг;2016-07;1;70;11191
Хостинг;2016-10;1;150;11191
Электронные деньги;2016-06;1;1000;11191
Электронные деньги;2016-09;1;150;11191
Электронные деньги;2016-11;1;70;11191
Игры со ставками;2016-09;3;600;7362
Игры со ставками;2016-10;4;600;7362
Игры со ставками;2016-11;6;2100;7362
Сотовая связь;2016-09;2;40;7362
Сотовая связь;2016-10;2;20;7362
Сотовая связь;2016-11;4;90;7362
MLM;2016-07;1;10;11192
Интернет магазины;2016-07;3;700;11192
Онлайн игры;2016-07;12;1000;11192
Онлайн игры;2016-08;5;500;11192
Онлайн игры;2016-09;1;30;11192
Онлайн игры;2016-10;1;100;11192
Онлайн игры;2016-11;3;350;11192
Онлайн общение;2016-09;2;150;11192
Онлайн общение;2016-11;1;350;11192
Электронные деньги;2016-07;3;600;11192
Интернет магазины;2016-06;3;4800;7357
Интернет магазины;2016-07;2;400;7357
Интернет магазины;2016-09;1;250;7357
Сотовая связь;2016-08;1;50;7357
VPP;2016-06;1;700;8416
VPP;2016-07;1;4800;8416
Игры со ставками;2016-06;1;60;8416
Сотовая связь;2016-06;2;30;8416
Сотовая связь;2016-06;2;80;11194
Сотовая связь;2016-07;4;200;11194
Сотовая связь;2016-08;1;200;11194
Интернет магазины;2016-06;3;800;11195
Интернет магазины;2016-07;1;60;11195
Интернет магазины;2016-08;1;150;11195
Информационные услуги;2016-07;5;10;11195
Онлайн игры;2016-06;2;150;11195
Онлайн игры;2016-07;7;600;11195
Онлайн игры;2016-08;4;400;11195
Онлайн игры;2016-09;2;350;11195
Онлайн игры;2016-10;2;10;11195
Служебная;2016-06;1;20;11195
Служебная;2016-07;1;20;11195
