user_id;sex;age;university;graduation_year
1;Муж;26;МАТИ;2012
2;Муж;36;ТулГУ;2003
3;Муж;33;ЮРГТУ;2006
5;Муж;27;ГУУ;2010
7;Муж;39;ВМИРЭ;1999
8;Муж;34;МГУПП;2004
9;Муж;38;РМАТ;2004
11;Муж;39;СОГУ им. Хетагурова;1999
13;Муж;30;СГАП;2010
14;Муж;39;ПГУ;2011
15;Муж;31;БГУ им. Петровского;2006
17;Муж;22;АУ МВД РФ;2014
18;Муж;42;ХТИ;1999
19;Муж;26;ТГУ;N/A
20;Муж;31;КубГТУ;2008
21;Муж;37;СГУТиКД;2000
24;Муж;27;УГСХА;2012
25;Муж;27;ВСГУТУ;N/A
26;Жен;60;ВСГУТУ;1983
28;Муж;37;ТГУ;2006
29;Муж;29;ИГУ;2009
31;Жен;40;УлГУ;1999
35;Жен;32;ДВФУ;2006
36;Муж;29;УрГЭУ;2012
38;Муж;39;ОГУ;2001
39;Жен;29;ИрГТУ;N/A
42;Муж;38;ПНИПУ;2000
43;Жен;41;КГТЭИ;1998
44;Муж;27;РЭУ им. Г. В. Плеханова;N/A
45;Муж;30;ТулГУ;2010
48;Муж;36;ЮГУ;2003
50;Муж;41;МИЭТ;2000
53;Муж;52;МГПУ;1990
54;Муж;34;МГГУ;2005
55;Жен;37;СГА;1999
57;Муж;35;КемГУ;2004
59;Муж;38;МПГУ;2000
60;Жен;36;МБИ;1999
61;Муж;58;УрФУ им. Б. Н. Ельцина;1981
62;Муж;39;ВлГУ;2002
63;Муж;33;МГТУ им. Косыгина;N/A
65;Муж;36;БГУЭП;2002
66;Муж;35;РГГУ;2003
67;Муж;45;СГУ им. Чернышевского;1993
68;Муж;40;ВГПУ;1998
70;Муж;35;ОГУ;2003
71;Муж;39;ДГТУ;2000
72;Жен;40;ГУЗ;1999
73;Муж;35;Финансовый университет;2008
74;Муж;36;ВолгГТУ;N/A
76;Жен;35;Финансовый университет;2001
80;Муж;30;МГЮА;2009
81;Муж;33;ТГТУ;2005
83;Муж;44;КФУ;1994
85;Муж;50;СПбГУАП;1989
86;Муж;60;МИРЭА;N/A
87;Жен;38;МГУ;2009
88;Жен;41;РГСУ;2005
90;Муж;44;МГТУ им. Н.Э. Баумана;1996
92;Муж;49;МГУПС;1992
94;Жен;34;ИНЭП;2009
95;Муж;27;МФПУ Синергия;2011
96;Муж;40;КГУ им. Некрасова;1968
98;Муж;37;НИ;2012
99;Муж;37;МГОУ;2007
100;Жен;38;РГУТиС;2003
101;Муж;31;МосГУ;2007
102;Жен;34;РГТЭУ;2004
103;Муж;30;ОмГУ им. Достоевского;N/A
104;Муж;44;ИрГТУ;1994
105;Муж;47;ЯрГУ им. П. Г. Демидова;1993
106;Муж;46;РГАТА;1992
107;Муж;33;РАНХиГС при Президенте РФ;1993
109;Жен;37;ЛГТУ;N/A
110;Муж;32;ИГЭУ им. Ленина;2006
112;Муж;31;ТГТУ;2008
114;Жен;52;ПГСХА;1986
115;Муж;37;ГУЗ;N/A
116;Муж;35;РГРТУ;2004
118;Жен;35;МГСУ-МИСИ;2004
119;Муж;27;БрГУ;2013
120;Жен;28;ВлГУ им. А.Г. и Н.Г. Столетовых;N/A
122;Муж;38;РГСУ;2000
123;Муж;23;ЛГТУ;2015
124;Муж;29;МЭСИ;2010
125;Муж;40;ТюмГУ;2008
126;Муж;34;СПбГПУ Политех;2005
127;Муж;47;УрФУ им. Б. Н. Ельцина;1993
128;Жен;30;ВолгГТУ;N/A
129;Муж;36;ВолГУ;2002
130;Муж;30;СЗТУ;2015
131;Жен;37;СПбГУ;2007
134;Муж;28;УГТУ;2011
137;Муж;48;ТюмГУ;1994
138;Муж;30;КГТУ;2011
139;Муж;35;ПГПУ им. Белинского;2003
140;Жен;33;СГА;2004
142;Муж;40;СПбГУ;1999
143;Муж;33;ЕГУ им. Бунина;2007
146;Муж;24;ТвГУ;2015
147;Муж;34;МФЮА;2007
148;Жен;37;НГСХА;2003
150;Жен;49;ЮУрГУ;1991
151;Жен;31;МГТУ им. Носова;2007
153;Муж;30;ИГЭУ им. Ленина;N/A
159;Муж;43;ВГАВТ;2005
160;Муж;38;КГТУ;N/A
162;Муж;27;ПГТУ;2011
163;Муж;29;ЮРГУЭС;2012
164;Муж;40;СПбГУКИ;1976
165;Муж;39;ПГУ;N/A
166;Жен;28;КНИТУ-КАИ им. А. Н. Туполева;N/A
168;Муж;24;РГЭУ РИНХ;2014
169;Муж;35;МГУПБ;2004
171;Муж;29;МГУ;N/A
172;Муж;46;НГТУ им. Алексеева;2003
173;Муж;29;СГА;2013
174;Муж;31;МЭСИ;2015
175;Муж;35;МГПУ;N/A
176;Муж;33;МГУ;N/A
177;Жен;26;РЭУ им. Г. В. Плеханова;2013
